line_id,origin_canton,line_name,stop_id,num_cantons,canton_list
92-730-1-j24-1,"['Aargau', 'Basel-Stadt', 'Basel-Landschaft']",7301,766,3,"Aargau, Basel-Landschaft, Basel-Stadt"
96-224-6-j24-1,"['AppenzellAusserrhoden', 'AppenzellInnerrhoden', 'StGallen']",226,704,3,"AppenzellAusserrhoden, AppenzellInnerrhoden, StGallen"
91-20-B-j24-1,"['Fribourg', 'Bern', 'Neuchatel']",S20,677,3,"Bern, Fribourg, Neuchatel"
91-13-j24-1,"['StGallen', 'Zurich', 'Graubunden']",IR13,649,3,"Graubunden, StGallen, Zurich"
91-36-A-j24-1,"['Aargau', 'Zurich', 'Basel-Landschaft']",IR36,598,3,"Aargau, Basel-Landschaft, Zurich"
91-25-j24-1,"['Glarus', 'Schwyz', 'Zurich']",S25,593,3,"Glarus, Schwyz, Zurich"
91-30-K-j24-1,"['Vaud', 'Bern', 'Fribourg']",30,568,3,"Bern, Fribourg, Vaud"
91-30-J-j24-1,"['Vaud', 'Bern', 'Fribourg']",R30,559,3,"Bern, Fribourg, Vaud"
91-3-H-j24-1,"['Schwyz', 'Luzern', 'Uri']",S3,534,3,"Luzern, Schwyz, Uri"
91-35-j24-1,"['Thurgau', 'StGallen', 'Zurich']",S35,495,3,"StGallen, Thurgau, Zurich"
91-52-j24-1,"['Bern', 'Neuchatel', 'Fribourg']",S52,336,3,"Bern, Fribourg, Neuchatel"
91-27-A-j24-1,"['Aargau', 'Basel-Landschaft', 'Luzern']",IR27,287,3,"Aargau, Basel-Landschaft, Luzern"
91-1J-Y-j24-1,"['Luzern', 'Nidwalden', 'Obwalden']",IR,220,3,"Luzern, Nidwalden, Obwalden"
96-224-7-j24-1,"['AppenzellAusserrhoden', 'AppenzellInnerrhoden', 'StGallen']",227,188,3,"AppenzellAusserrhoden, AppenzellInnerrhoden, StGallen"
91-1-P-j24-1,"['AppenzellAusserrhoden', 'StGallen', 'Thurgau']",RE1,175,3,"AppenzellAusserrhoden, StGallen, Thurgau"
92-B21-j24-1,"['AppenzellInnerrhoden', 'AppenzellAusserrhoden', 'StGallen']",B21,165,3,"AppenzellAusserrhoden, AppenzellInnerrhoden, StGallen"
91-81-A-j24-1,"['Zurich', 'Thurgau', 'Bern']",IC81,162,3,"Bern, Thurgau, Zurich"
91-2A-Y-j24-1,"['Zurich', 'Ticino', 'Basel-Stadt']",EC,158,3,"Basel-Stadt, Ticino, Zurich"
91-35-B-j24-1,"['Zurich', 'Bern', 'Schwyz']",IR35,158,3,"Bern, Schwyz, Zurich"
92-14-D-j24-1,"['Solothurn', 'Basel-Landschaft', 'Basel-Stadt']",14,140,3,"Basel-Landschaft, Basel-Stadt, Solothurn"
91-2Q-Y-j24-1,"['Valais', 'Vaud', 'Geneve']",IR,134,3,"Geneve, Valais, Vaud"
92-528-j24-1,"['Luzern', 'Schwyz', 'Zug']",528,105,3,"Luzern, Schwyz, Zug"
91-20-E-j24-1,"['AppenzellInnerrhoden', 'AppenzellAusserrhoden', 'StGallen']",S20,80,3,"AppenzellAusserrhoden, AppenzellInnerrhoden, StGallen"
92-15-C-j24-1,"['Solothurn', 'Basel-Landschaft', 'Basel-Stadt']",15,70,3,"Basel-Landschaft, Basel-Stadt, Solothurn"
96-128-2-j24-1,"['Jura', 'Bern', 'Neuchatel']",N22,66,3,"Bern, Jura, Neuchatel"
91-34-Y-j24-1,"['Basel-Landschaft', 'Solothurn', 'Basel-Stadt']",S,58,3,"Basel-Landschaft, Basel-Stadt, Solothurn"
91-GPX-j24-1,"['Vaud', 'Fribourg', 'Bern']",GPX,56,3,"Bern, Fribourg, Vaud"
91-42-Y-j24-1,"['Geneve', 'Vaud', 'Solothurn']",IC,16,3,"Geneve, Solothurn, Vaud"
91-6-j24-1,"['Basel-Stadt', 'Basel-Landschaft']",6,11055,2,"Basel-Landschaft, Basel-Stadt"
91-10-j24-1,"['Basel-Landschaft', 'Basel-Stadt']",10,10952,2,"Basel-Landschaft, Basel-Stadt"
